Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type
790210055.0,117333739432.0,407116271030272.0,824486498304.0,1283538601177088.0,19087707896.0,0.0,5854874221.0,0.0,108909082.0,1871532.0,206063.0,79349617.0,79212019.0,121441.0,338083.0,36475479.0,0.0,0.0,0.0,0.0,0.0,2200970.0,0.0,2473000.0,players-activeLogic_Empty_0x_0z_100p_120s.csv,24730,0,0,True,0,100,120,Empty
982969998.0,112637274574.0,64586775670784.0,1239350657024.0,179445103542272.0,6682587908.0,0.0,647821797.0,0.0,24954979.0,1184761.0,143535.0,21593668.0,21504047.0,76921.0,211286.0,30332947.0,0.0,0.0,0.0,0.0,0.0,2933796.0,0.0,329640.0,players-activeLogic_Empty_0x_0z_10p_120s.csv,32964,0,0,True,0,10,120,Empty
1013439428.0,115719012836.0,116966887096320.0,1413900972032.0,356382174965760.0,7474813174.0,0.0,1040321644.0,0.0,37233046.0,1046742.0,131707.0,33814072.0,33709063.0,95709.0,564791.0,33021823.0,0.0,0.0,0.0,0.0,0.0,3042643.0,0.0,683740.0,players-activeLogic_Empty_0x_0z_20p_120s.csv,34187,0,0,True,0,20,120,Empty
1043794981.0,116780938990.0,166029650354176.0,1133114114048.0,521934685585408.0,8890212760.0,0.0,1496084739.0,0.0,28155831.0,1192885.0,135077.0,24739449.0,24651826.0,77902.0,294553.0,32917067.0,0.0,0.0,0.0,0.0,0.0,2987018.0,0.0,1006860.0,players-activeLogic_Empty_0x_0z_30p_120s.csv,33562,0,0,True,0,30,120,Empty
1005467839.0,116741322745.0,210408107741184.0,1221968482304.0,669725904277504.0,9901109163.0,0.0,1775398277.0,0.0,24527911.0,1188294.0,137595.0,21174258.0,21093560.0,71464.0,230750.0,31966504.0,0.0,0.0,0.0,0.0,0.0,2897039.0,0.0,1302040.0,players-activeLogic_Empty_0x_0z_40p_120s.csv,32551,0,0,True,0,40,120,Empty
992327806.0,116865555797.0,251453484916736.0,1424093241344.0,807616579461120.0,11102236002.0,0.0,2314094027.0,0.0,34055886.0,1280172.0,137352.0,30462709.0,30361799.0,89435.0,201061.0,33116621.0,0.0,0.0,0.0,0.0,0.0,2806348.0,0.0,1576600.0,players-activeLogic_Empty_0x_0z_50p_120s.csv,31532,0,0,True,0,50,120,Empty
1030297801.0,117059564240.0,307416954503168.0,1339394379776.0,981347745828864.0,12300137490.0,0.0,2748752246.0,0.0,63706334.0,1249656.0,139815.0,47528473.0,47420604.0,95823.0,197900.0,33217895.0,0.0,0.0,0.0,0.0,0.0,2819609.0,0.0,1900860.0,players-activeLogic_Empty_0x_0z_60p_120s.csv,31681,0,0,True,0,60,120,Empty
955761990.0,117107939413.0,333424186519552.0,1069989437440.0,1063570192588800.0,13700916288.0,0.0,3410307737.0,0.0,37257580.0,1358804.0,153119.0,33518007.0,33410959.0,93285.0,201459.0,31908228.0,0.0,0.0,0.0,0.0,0.0,2624788.0,0.0,2064440.0,players-activeLogic_Empty_0x_0z_70p_120s.csv,29492,0,0,True,0,70,120,Empty
862534610.0,117064642012.0,369379154571264.0,1132756840448.0,1161516208287744.0,15675269618.0,0.0,4206077229.0,0.0,63160971.0,1464253.0,171242.0,48795909.0,48676278.0,101668.0,7556912.0,34932150.0,0.0,0.0,0.0,0.0,0.0,2484524.0,0.0,2233280.0,players-activeLogic_Empty_0x_0z_80p_120s.csv,27916,0,0,True,0,80,120,Empty
816745626.0,117070755374.0,385344691015680.0,1190203215872.0,1217751223308288.0,17133599080.0,0.0,5017373079.0,0.0,35351364.0,1547982.0,180448.0,31055059.0,30935976.0,104417.0,294891.0,35379337.0,0.0,0.0,0.0,0.0,0.0,2316492.0,0.0,2342520.0,players-activeLogic_Empty_0x_0z_90p_120s.csv,26028,0,0,True,0,90,120,Empty
